Model,MAE,RMSE,MAPE(%),sMAPE(%)
Random Forest Features,0.00023340184379439248,0.0004433743838992839,0.055080323624032805,0.055069224154552246
Ridge Features,0.0028474493611925864,0.0039441010810614295,0.6983953930830838,0.702172620266534
N-BEATS simplified,0.014453299633862635,0.02005285130114689,3.695705856955098,3.7208571343216668
SARIMAX,0.022631038166671166,0.03068478080977059,6.6063073138283706,6.20837163976631
LSTM,0.025766438900207397,0.034729025779163744,6.359555384532302,6.641309622705656
Seasonal Naive (7d),0.07392490234943495,0.09383879247918044,17.834554294377885,20.469289179973945
Rolling Mean (7d),0.07391727728743666,0.09383929498053044,17.83348024299027,20.468009701643318
Hybrid SeasonalNaive(7d)+ResidualNN,0.07788195403046955,0.09911719491316387,19.128081147426006,22.331083263310074
SARIMA,0.08447596840668112,0.10178870154924881,20.83418144994961,24.14260821628934
Naive,0.0911695718834533,0.10902718299055339,22.4007723487913,26.205215420356254
