Model,MAE,RMSE,MAPE(%)
Rolling Mean (7d),0.0586,0.0677,16.56
Seasonal Naive (365d),0.07,0.0899,17.1
LSTM,0.0773,0.0953,18.76
Naive,0.0923,0.1053,26.78
GRU,0.1124,0.1291,27.82
"SARIMA(2, 1, 1)x(1, 1, 1, 7)",0.1289,0.1515,
TCN,0.1393,0.1584,34.7
Prophet,0.194,0.2017,52.32
