user,length_years,missing_samples_pct,p1,p2,p3,p4,p5,p6,cnae,contracted_tariff,zip_code,municipality,num_active_periods,tariff_fixture,cnae_2d,sector
a2fa0517452e8aabe3ee936576522bba939a1fb5bb76a90ab55c85fce0cf3edf,1.22108145106092,0.0280269058295964,3.45,3.45,,,,,9820,2_active_periods,1001.0,Vitoria-Gasteiz,2,1-1-0-0-0-0,98,Household production
a2fa86db41ef9e14aec92176aab00330645bb781942521aba2e672abe84a800a,2.32443531827515,0.0245386729485669,7.0,7.0,7.0,7.0,7.0,15.1,8559,6_active_periods,20006.0,Donostia/San Sebastian,6,1-1-1-1-1-1,85,Education
a302da9e6c73e76b8537faadba08c4c5a9292ea090c2072199c2a49fc39a2e3a,3.55373032169747,0.016050333846944,13.856,13.856,,,,,0141,2_active_periods,,,2,1-1-0-0-0-0,01,"Agriculture, livestock, fishing"
a3032b3b75a5b0dc3a87714fac7a05437703790193fc0116b90d44017a5085fe,5.01300479123888,0.0750955761878755,3.45,3.45,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a30d381b6f9d5e48818f3eac2efa1141a86d51fadb41139f77567e07d647ec15,5.01300479123888,0.345894775168396,9.0,9.0,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a30f9044e71b1823ad1aca611f2b2561c9ff9c3f353963bcbdd78daec83ce4a6,5.25404973762263,0.0108561130772738,3.3,4.6,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a31460ce20fe75279300e4733c2066f9e933fe747b11c1458b867593d7d1f47f,4.92265571526352,0.298943270300334,4.4,4.4,,,,,9820,2_active_periods,20018.0,Donostia/San Sebastian,2,1-1-0-0-0-0,98,Household production
a31b33b081afa6005d4169d3cec15c4753598db73b6c96def9c01ea692e2093e,2.71594798083504,0.0252016129032258,4.5,4.5,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
a320f29687f4728ed80240db0a6ab9bbdc061e95dcc34e03b4aca286daec81e1,5.01300479123888,0.129710540688149,4.6,4.6,,,,,9820,2_active_periods,48992.0,Getxo,2,1-1-0-0-0-0,98,Household production
a32122f8c400dbe8d13a395fe8429812c63b5be7da57cd0f4a30d22cac02c6fd,2.217659137577,0.0257201646090535,4.4,4.4,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
