Model,MAE,RMSE,MAPE(%)
TCN,0.0401,0.0496,11.67
Rolling Mean (7d),0.0482,0.0565,14.24
LSTM,0.0448,0.0582,13.4
Naive,0.0623,0.0738,19.79
Seasonal Naive (365d),0.0588,0.0782,15.31
Prophet,0.1214,0.1297,35.46
"SARIMA(1, 1, 2)x(1, 1, 1, 7)",0.1354,0.1628,
GRU,0.2405,0.2688,68.78
