model,feature,importance_pct
N-BEATS v2,cos_dow,24.82878827314468
N-BEATS v2,sin_dow,19.878332070953984
N-BEATS v2,is_weekend,9.357221082357974
N-BEATS v2,cos_week,7.053196984491414
N-BEATS v2,wow_change,5.615729961615165
N-BEATS v2,lag_30d,5.375090450496084
N-BEATS v2,lag_7d,3.974371773085623
N-BEATS v2,sin_week,3.6014072573395217
N-BEATS v2,lag_14d,3.2199994830186025
N-BEATS v2,sin_month,2.8662183750189243
N-BEATS v2,roll7_ratio,2.3668522822348668
N-BEATS v2,dod_change,2.207348797829901
N-BEATS v2,roll7_std,2.0814324115773295
N-BEATS v2,is_holiday_es,1.8267141086635255
N-BEATS v2,roll30_mean,1.6427555697004683
N-BEATS v2,cos_month,1.411339889621804
N-BEATS v2,roll7_mean,1.3299820696053726
N-BEATS v2,lag_1d,0.8520941490887072
N-BEATS v2,is_bridge_day,0.511125010156046
Random Forest,lag_1d,66.04804750990844
Random Forest,lag_7d,10.87752410373941
Random Forest,cos_dow,6.25111106603419
Random Forest,roll7_mean,6.060124183586019
Random Forest,sin_dow,5.86716788513991
Random Forest,lag_14d,1.2739518150532796
Random Forest,is_weekend,0.6213193086024167
Random Forest,cos_week,0.5293164066853618
Random Forest,dod_change,0.513868940037666
Random Forest,roll7_ratio,0.49749043556043193
Random Forest,is_holiday_es,0.4103527817841221
Random Forest,lag_30d,0.22503021775489765
Random Forest,roll30_mean,0.20916896331620546
Random Forest,roll7_std,0.19978120249799827
Random Forest,wow_change,0.1541657464388593
Random Forest,sin_week,0.1420585561536467
Random Forest,sin_month,0.06040453242897445
Random Forest,cos_month,0.059116345278166664
Random Forest,is_bridge_day,3.271589773358773e-15
Ridge,lag_1d,62.74706323090021
Ridge,is_weekend,15.571955477071183
Ridge,roll7_ratio,4.007436494660152
Ridge,roll7_mean,3.0981901662367974
Ridge,cos_dow,3.005407027947229
Ridge,is_holiday_es,2.0496479174394775
Ridge,lag_7d,1.9661107337742285
Ridge,cos_week,1.4935072256407562
Ridge,sin_week,1.321917819850558
Ridge,lag_14d,1.1148220740550643
Ridge,cos_month,0.9207625180046543
Ridge,lag_30d,0.6991497482338852
Ridge,wow_change,0.5117031157482393
Ridge,roll30_mean,0.5050958477334325
Ridge,roll7_std,0.2935082693448659
Ridge,sin_month,0.2904694702969322
Ridge,sin_dow,0.23668053274201659
Ridge,is_bridge_day,0.10842674803399993
Ridge,dod_change,0.05814558228631689
