model,city,feature,mape_increase,importance_pct
Random Forest,Donostia/San Sebastian,sin_week,-0.0057541984310789385,0.0
Random Forest,Donostia/San Sebastian,cos_week,-0.00925430979419759,0.0
Random Forest,Donostia/San Sebastian,lag_1d,12.322453416868504,80.09919354663006
Random Forest,Donostia/San Sebastian,lag_7d,0.14073275497990884,0.9147999832610343
Random Forest,Donostia/San Sebastian,lag_14d,0.16006599010213862,1.0404711048753474
Random Forest,Donostia/San Sebastian,lag_30d,0.04170990080648891,0.2711253436702968
Random Forest,Donostia/San Sebastian,roll7_mean,0.30245266313117464,1.9660219911786243
Random Forest,Donostia/San Sebastian,roll7_std,0.06416153736182753,0.41706689613929193
Random Forest,Donostia/San Sebastian,roll30_mean,0.027363971006098487,0.17787302054811618
Random Forest,Donostia/San Sebastian,roll7_ratio,0.02355291478533328,0.15310015109451536
Random Forest,Donostia/San Sebastian,wow_change,0.004778600382513787,0.031062161403426373
Random Forest,Donostia/San Sebastian,dod_change,0.11185829112868614,0.7271083612819094
Ridge,Donostia/San Sebastian,is_weekend,2.7806649724387014,14.846581643464651
Ridge,Donostia/San Sebastian,is_holiday_es,0.18931442935489073,1.010791360901809
Ridge,Donostia/San Sebastian,is_bridge_day,9.100792753615749e-05,0.0004859113340731172
Ridge,Donostia/San Sebastian,sin_dow,-0.008983960285202652,0.0
Ridge,Donostia/San Sebastian,cos_dow,0.8097109924946626,4.323225011584099
Ridge,Donostia/San Sebastian,sin_month,0.041460268346263485,0.2213654881346276
Ridge,Donostia/San Sebastian,cos_month,0.06342722992577828,0.33865192565287744
Ridge,Donostia/San Sebastian,sin_week,0.041962148238456363,0.22404513522210828
Ridge,Donostia/San Sebastian,cos_week,0.023242635860446902,0.12409754297325772
Ridge,Donostia/San Sebastian,lag_1d,12.251126634260498,65.4114586269103
Ridge,Donostia/San Sebastian,lag_7d,0.37598894613504064,2.0074876481572144
Ridge,Donostia/San Sebastian,lag_14d,0.2463073309379678,1.3150889928847835
Ridge,Donostia/San Sebastian,lag_30d,0.016463175467216873,0.08790051340502071
Ridge,Donostia/San Sebastian,roll7_mean,1.3745890337144608,7.3392330674611
Ridge,Donostia/San Sebastian,roll7_std,0.05640486838588643,0.301157993458488
Ridge,Donostia/San Sebastian,roll30_mean,0.2418014068664253,1.291030873596598
Ridge,Donostia/San Sebastian,roll7_ratio,0.2153186075981314,1.149633385808134
Ridge,Donostia/San Sebastian,wow_change,-0.005326313686084961,0.0
Ridge,Donostia/San Sebastian,dod_change,0.001454309666053577,0.00776487905085812
N-BEATS v2,Donostia/San Sebastian,is_weekend,0.33221437779864277,10.620481259750237
