date,actual,N-BEATS v2 (covariate-conditioned),residual,z_residual,period,zscore_flag,iforest_flag,lof_flag,ocsvm_flag,kmeans_flag,ensemble_votes,ensemble_flag
2021-08-28,0.2894002298481932,0.29412225,-0.004722020151806783,-0.3704288532505096,post-COVID,0,0,0,0,0,0,0
2021-08-29,0.2735548963010476,0.28328216,-0.009727263698952382,-0.6296256130271521,post-COVID,0,0,0,0,0,0,0
2021-08-30,0.3045213545007483,0.29460758,0.009913774500748318,0.3874864239914913,post-COVID,0,0,0,0,0,0,0
2021-08-31,0.3133809065640367,0.31148824,0.0018926665640366935,-0.027887007377299027,post-COVID,0,0,0,0,0,0,0
2021-09-01,0.3303943767372247,0.31572223,0.014672146737224723,0.6338989419616068,post-COVID,0,0,0,0,1,1,0
2021-09-02,0.3370171584348941,0.32972115,0.007296008434894086,0.2519252918045048,post-COVID,0,0,0,0,0,0,0
2021-09-03,0.3278247808424203,0.33236066,-0.004535879157579692,-0.3607895335828824,post-COVID,0,0,0,0,0,0,0
2021-09-04,0.3014563822963438,0.3129733,-0.011516917703656204,-0.7223029252840274,post-COVID,0,0,0,0,0,0,0
2021-09-05,0.2921536508445584,0.29416424,-0.002010589155441611,-0.23001727846977857,post-COVID,0,0,0,0,0,0,0
2021-09-06,0.3430039822535813,0.31098637,0.032017612253581296,1.5321346454412177,post-COVID,0,0,0,0,1,1,0
2021-09-07,0.3607747220440453,0.34666237,0.014112352044045318,0.6049099488695507,post-COVID,0,0,0,0,1,1,0
2021-09-08,0.3526678159076331,0.35325378,-0.0005859640923669418,-0.15624300619562909,post-COVID,0,0,0,0,0,0,0
2021-09-09,0.35526817404319,0.35031486,0.004953314043189994,0.1306087585015651,post-COVID,0,0,0,0,0,0,0
2021-09-10,0.3388206115031003,0.35198283,-0.013162218496899747,-0.8075049000630302,post-COVID,0,0,0,0,0,0,0
2021-09-11,0.31016909878127,0.32130986,-0.011140761218729978,-0.7028236449765883,post-COVID,0,0,0,0,0,0,0
2021-09-12,0.2995641971349155,0.30709538,-0.007531182865084474,-0.5159014693397259,post-COVID,0,0,0,0,0,0,0
2021-09-13,0.3485570878768441,0.32921216,0.01934492787684411,0.8758791211729581,post-COVID,0,0,0,0,1,1,0
2021-09-14,0.3497165116527688,0.3553005,-0.005583988347231228,-0.4150659146002911,post-COVID,0,0,0,0,0,0,0
2021-09-15,0.3537683344023946,0.35235414,0.0014141944023945974,-0.05266470955558419,post-COVID,0,0,0,0,0,0,0
2021-09-16,0.3519558210391276,0.3565244,-0.004568578960872427,-0.3624828943512398,post-COVID,0,0,0,0,0,0,0
2021-09-17,0.3345898813341885,0.34741926,-0.01282937866581152,-0.7902687746017881,post-COVID,0,0,0,0,0,0,0
2021-09-18,0.3249669927303826,0.30662456,0.018342432730382607,0.8239648654115543,post-COVID,0,0,0,0,1,1,0
2021-09-19,0.3091567243959803,0.31425574,-0.005099015604019708,-0.3899515795162167,post-COVID,0,0,0,0,0,0,0
2021-09-20,0.3391656243318366,0.3397086,-0.0005429756681634146,-0.15401684873565646,post-COVID,0,0,0,0,0,0,0
2021-09-21,0.339051368398546,0.3493816,-0.01033023160145402,-0.6608503326847741,post-COVID,0,0,0,0,0,0,0
2021-09-22,0.3381431205901218,0.34085003,-0.002706909409878222,-0.2660762538256818,post-COVID,0,0,0,0,0,0,0
2021-09-23,0.3408558905281162,0.339117,0.0017388905281162104,-0.03585030623907295,post-COVID,0,0,0,0,0,0,0
2021-09-24,0.3371337663031858,0.33929524,-0.0021614736968141868,-0.23783084115774394,post-COVID,0,0,0,0,0,0,0
2021-09-25,0.3203668216805644,0.31154203,0.008824791680564381,0.33109340019845834,post-COVID,0,0,0,0,0,0,0
2021-09-26,0.303496391917896,0.31077257,-0.007276178082104012,-0.5026960353076946,post-COVID,0,0,0,0,0,0,0
2021-09-27,0.3464094772289929,0.3366134,0.009796077228992894,0.38139146553718106,post-COVID,0,0,0,0,0,0,0
2021-09-28,0.3432568687192644,0.35482132,-0.011564451280735577,-0.7247644536878936,post-COVID,0,0,0,0,0,0,0
2021-09-29,0.3441411161000641,0.3469581,-0.0028169838999358987,-0.2717764661906299,post-COVID,0,0,0,0,0,0,0
2021-09-30,0.3436482788112037,0.34788045,-0.004232171188796319,-0.34506200290719957,post-COVID,0,0,0,0,0,0,0
2021-10-01,0.3376225678853966,0.33785525,-0.00023268211460342192,-0.13794828325931788,post-COVID,0,0,0,0,0,0,0
2021-10-02,0.3174690239469745,0.31327838,0.004190643946974493,0.09111385363717896,post-COVID,0,0,0,0,0,0,0
2021-10-03,0.3325949059225999,0.31141222,0.021182685922599864,0.971047503335899,post-COVID,0,0,0,0,1,1,0
2021-10-04,0.3450843355783621,0.3610047,-0.01592036442163791,-0.950335609487945,post-COVID,0,0,0,0,0,0,0
2021-10-05,0.3555735380585845,0.3178483,0.03772523805858452,1.8277043016906247,post-COVID,0,0,0,0,1,1,0
2021-10-06,0.3456416639940132,0.3657529,-0.0201112360059868,-1.1673600809390317,post-COVID,0,0,0,0,0,0,0
2021-10-07,0.3516161000641437,0.34007534,0.011540760064143674,0.4717399437779449,post-COVID,0,0,0,0,1,1,0
2021-10-08,0.3463760289715629,0.34289604,0.003479988971562875,0.05431255411782061,post-COVID,0,0,0,0,0,0,0
2021-10-09,0.3179892158434894,0.3228952,-0.004905984156510612,-0.3799554374188185,post-COVID,0,0,0,0,0,0,0
2021-10-10,0.2952867757109257,0.31809056,-0.022803784289074314,-1.3067938135725707,post-COVID,0,0,0,0,0,0,0
