Model,MAE,RMSE,MAPE(%),sMAPE(%)
Random Forest Features,0.00025465055031314345,0.0005358692089297923,0.06346925300840961,0.06342962288616427
Ridge Features,0.0012886256688393472,0.0019306275501326585,0.34457094794410004,0.34502405415524573
SARIMAX,0.01642557171292562,0.02002284351012624,4.358278967884113,4.491764663531406
N-BEATS v2 (covariate-conditioned),0.016769181344197057,0.023505751755860223,4.668470092606302,4.7008410951757265
LSTM v2 (dual-stream),0.024607507014575748,0.03162060541434557,6.978692102247934,6.953619543387912
Seasonal Naive (365d),0.033778852814435156,0.047294562065638236,9.250158975892129,9.715094105713163
Hybrid v2 SeasonalNaive(365d)+ResidualLSTM,0.04287858226316457,0.05464879248924963,11.980177471586464,12.355839534802664
Naive,0.06370607962717666,0.08200289182592102,16.478045639702295,18.739914565999204
SARIMA,0.07718379801113083,0.09287379448041107,20.42443412229463,23.614061978932067
Rolling Mean (7d),0.08175351278129286,0.0985368080763888,21.50649869893109,25.078651563046378
