,Group,Category,N,%,N total
0,in,Increasing,4,44.4,9
1,in,Stable,3,33.3,9
2,in,Decreasing,2,22.2,9
3,post,Increasing,6,54.5,11
4,post,Stable,3,27.3,11
5,post,Decreasing,2,18.2,11
6,pre,Increasing,2,25.0,8
7,pre,Stable,4,50.0,8
8,pre,Decreasing,2,25.0,8
