Group,N,P10,P25,P50,P75,P90,P95,P99
in,3,0.2846,0.3139,0.3628,0.4265,0.4647,0.4774,0.4876
post,5,0.2879,0.3328,0.4754,0.5243,0.5391,0.5441,0.5481
pre,3,0.2987,0.305,0.3156,0.5512,0.6925,0.7396,0.7773
