Group,N,P10,P25,P50,P75,P90,P95,P99
in,6,0.5152,0.5945,0.8456,2.04,2.5942,2.6897,2.7661
post,5,0.5428,0.5858,0.9319,1.1963,2.7139,3.2197,3.6244
pre,5,0.6514,0.6607,0.8664,1.919,2.0072,2.0366,2.0601
