Group,N,P10,P25,P50,P75,P90,P95,P99
in,5,0.2069,0.3032,0.3944,0.9126,0.9736,0.9939,1.0101
post,10,0.227,0.2449,0.5421,1.0957,2.3533,2.4478,2.5233
pre,2,0.2691,0.3709,0.5404,0.71,0.8117,0.8457,0.8728
