,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,0.021955,0.021955,,0.021955,0.021955,0.021955,0.021955,
post,2,0.018917,0.018917,0.004618,0.015651,0.017284,0.020549,0.022182,0.0
