,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,0.571443,0.571443,,0.571443,0.571443,0.571443,0.571443,
post,1,0.464311,0.464311,,0.464311,0.464311,0.464311,0.464311,
pre,1,0.384863,0.384863,,0.384863,0.384863,0.384863,0.384863,
