Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.5909,0.5925,9e-06,0.3293,100.0,0,0.0,0.7935,0.0248,11.1633
post,0.6359,0.6488,-9e-06,0.2588,0.0,0,100.0,0.7044,0.0243,17.9394
pre,0.6241,0.6312,1.4e-05,0.2322,100.0,0,0.0,0.6025,0.0233,8.6196
