,Group,Category,N,%,N total
0,in,Increasing,1,12.5,8
1,in,Stable,4,50.0,8
2,in,Decreasing,3,37.5,8
3,post,Increasing,1,7.7,13
4,post,Stable,8,61.5,13
5,post,Decreasing,4,30.8,13
6,pre,Increasing,0,0.0,4
7,pre,Stable,4,100.0,4
8,pre,Decreasing,0,0.0,4
