Group,N,P10,P25,P50,P75,P90,P95,P99
in,12689,0.4476,0.5724,0.7133,0.8763,1.1168,1.5001,5.5175
post,14304,0.4701,0.6112,0.7613,0.9318,1.1759,1.542,5.1964
pre,9730,0.4701,0.6003,0.7493,0.921,1.165,1.5329,5.339
