Group,N,P10,P25,P50,P75,P90,P95,P99
in,284,0.333,0.5725,0.8493,1.972,8.3281,14.3861,44.5878
post,368,0.3019,0.5278,0.8843,1.9429,10.488,16.8742,44.3925
pre,205,0.314,0.5772,0.8764,2.0989,7.3687,12.5872,50.9141
