,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,50,0.56438,0.572312,0.133676,0.335458,0.444211,0.679175,0.761219,-0.170334
post,51,0.52516,0.506959,0.167618,0.263501,0.37329,0.699229,0.78108,0.002877
pre,36,0.588797,0.657149,0.151853,0.263221,0.442387,0.713068,0.753701,-0.724528
