,Group,Category,N,%,N total
0,in,Increasing,5,71.4,7
1,in,Stable,1,14.3,7
2,in,Decreasing,1,14.3,7
3,post,Increasing,4,57.1,7
4,post,Stable,2,28.6,7
5,post,Decreasing,1,14.3,7
6,pre,Increasing,3,50.0,6
7,pre,Stable,0,0.0,6
8,pre,Decreasing,3,50.0,6
