,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,284,0.450905,0.430076,0.158054,0.118187,0.308796,0.543269,0.999225,0.795941
post,368,0.433392,0.393822,0.165215,0.14671,0.30035,0.503993,0.999127,1.220269
pre,205,0.447396,0.42599,0.160195,0.169697,0.320209,0.540412,0.998628,0.843195
