,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,5,5.7e-05,5.6e-05,4.4e-05,1.1e-05,3.2e-05,6e-05,0.000127,0.752965
post,9,3.3e-05,1.8e-05,3.9e-05,0.0,5e-06,4.9e-05,0.00011,1.046332
pre,1,-5e-06,-5e-06,,-5e-06,-5e-06,-5e-06,-5e-06,
