,Group,Category,N,%,N total
0,in,Increasing,224,69.6,322
1,in,Stable,41,12.7,322
2,in,Decreasing,57,17.7,322
3,post,Increasing,283,70.0,404
4,post,Stable,56,13.9,404
5,post,Decreasing,65,16.1,404
6,pre,Increasing,98,38.7,253
7,pre,Stable,50,19.8,253
8,pre,Decreasing,105,41.5,253
