Group,N,P10,P25,P50,P75,P90,P95,P99
in,1,0.6082,0.6082,0.6082,0.6082,0.6082,0.6082,0.6082
post,1,0.7668,0.7668,0.7668,0.7668,0.7668,0.7668,0.7668
pre,1,0.8776,0.8776,0.8776,0.8776,0.8776,0.8776,0.8776
