Group,N,P10,P25,P50,P75,P90,P95,P99
in,1,8.6404,8.6404,8.6404,8.6404,8.6404,8.6404,8.6404
pre,1,6.4199,6.4199,6.4199,6.4199,6.4199,6.4199,6.4199
