Group,N,P10,P25,P50,P75,P90,P95,P99
in,1,0.7306,0.7306,0.7306,0.7306,0.7306,0.7306,0.7306
post,1,0.855,0.855,0.855,0.855,0.855,0.855,0.855
pre,1,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743
