,Group,Category,N,%,N total
0,in,Increasing,5489,43.2,12709
1,in,Stable,2489,19.6,12709
2,in,Decreasing,4731,37.2,12709
3,post,Increasing,7902,55.2,14327
4,post,Stable,2523,17.6,14327
5,post,Decreasing,3902,27.2,14327
6,pre,Increasing,3469,35.6,9742
7,pre,Stable,3639,37.4,9742
8,pre,Decreasing,2634,27.0,9742
