Group,N,P10,P25,P50,P75,P90,P95,P99
in,2,0.6887,0.6952,0.706,0.7168,0.7233,0.7255,0.7272
post,2,0.689,0.7074,0.7382,0.769,0.7875,0.7936,0.7985
pre,1,0.8768,0.8768,0.8768,0.8768,0.8768,0.8768,0.8768
