,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,5,0.02129,0.02129,0.009597,0.007858,0.017727,0.025859,0.033717,-0.143629
post,9,0.022107,0.020831,0.006631,0.011598,0.018016,0.0286,0.03119,0.086822
pre,1,0.018967,0.018967,,0.018967,0.018967,0.018967,0.018967,
