Group,N,P10,P25,P50,P75,P90,P95,P99
in,3,0.0808,0.1654,0.3064,0.4509,0.5377,0.5666,0.5898
post,3,0.3779,0.4358,0.5322,0.6445,0.7119,0.7344,0.7523
pre,3,0.3004,0.4128,0.6002,0.6066,0.6105,0.6117,0.6128
