,Group,Threshold ratio,N above,% above,N total
0,in,0.01,42,89.4,47
1,in,0.05,0,0.0,47
2,in,0.1,0,0.0,47
3,in,0.2,0,0.0,47
4,post,0.01,51,89.5,57
5,post,0.05,0,0.0,57
6,post,0.1,0,0.0,57
7,post,0.2,0,0.0,57
8,pre,0.01,34,89.5,38
9,pre,0.05,0,0.0,38
10,pre,0.1,0,0.0,38
11,pre,0.2,0,0.0,38
