,Group,Threshold ratio,N above,% above,N total
0,in,0.01,9,100.0,9
1,in,0.05,0,0.0,9
2,in,0.1,0,0.0,9
3,in,0.2,0,0.0,9
4,post,0.01,10,90.9,11
5,post,0.05,0,0.0,11
6,post,0.1,0,0.0,11
7,post,0.2,0,0.0,11
8,pre,0.01,7,100.0,7
9,pre,0.05,0,0.0,7
10,pre,0.1,0,0.0,7
11,pre,0.2,0,0.0,7
