Group,N,P10,P25,P50,P75,P90,P95,P99
in,4,0.2,0.3572,0.4588,0.505,0.5625,0.5817,0.5971
post,5,0.142,0.2317,0.3557,0.659,0.726,0.7483,0.7662
pre,3,0.1372,0.2586,0.461,0.548,0.6003,0.6177,0.6316
