,Group,Category,N,%,N total
0,in,Increasing,6,60.0,10
1,in,Stable,2,20.0,10
2,in,Decreasing,2,20.0,10
3,post,Increasing,5,55.6,9
4,post,Stable,1,11.1,9
5,post,Decreasing,3,33.3,9
6,pre,Increasing,5,62.5,8
7,pre,Stable,2,25.0,8
8,pre,Decreasing,1,12.5,8
