Group,Daily Seasonality (md),Weekly Seasonality (md),Slope (md),Volatility (md),% Increasing,% Stable,% Decreasing,Residuals CV (md),Extreme ratio (md),Kurtosis (md)
in,0.6765,0.7393,2e-06,0.3249,58.3,8.3,33.3,0.3706,0.0253,19.8102
post,0.6845,0.7281,0.0,0.2291,47.1,17.6,35.3,0.3476,0.0242,15.5923
pre,0.5466,0.6326,1e-06,0.2694,50.0,25.0,25.0,0.3535,0.0226,14.6501
