,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,0.370598,0.453856,0.273142,0.065517,0.259687,0.523139,0.592422,-0.507954
post,5,0.355225,0.280593,0.261816,0.059185,0.217112,0.482187,0.737046,0.447237
pre,3,0.331082,0.252107,0.300475,0.077981,0.165044,0.457632,0.663156,0.449497
