,Group,Category,N,%,N total
0,in,Increasing,6,37.5,16
1,in,Stable,4,25.0,16
2,in,Decreasing,6,37.5,16
3,post,Increasing,6,37.5,16
4,post,Stable,3,18.8,16
5,post,Decreasing,7,43.8,16
6,pre,Increasing,4,25.0,16
7,pre,Stable,9,56.2,16
8,pre,Decreasing,3,18.8,16
