,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,9,0.15728,0.175719,0.098364,0.027022,0.077182,0.254205,0.294874,0.041909
post,11,0.114575,0.082765,0.102356,1.1e-05,0.036792,0.188032,0.330626,0.819979
pre,7,0.188341,0.222846,0.101702,0.08178,0.085531,0.269552,0.3036,-0.047799
