,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,47,0.471196,0.437618,0.159265,0.263501,0.347902,0.561564,0.861768,0.84352
post,57,0.448892,0.413014,0.163779,0.244176,0.319684,0.509128,0.905096,1.105774
pre,38,0.46687,0.426957,0.144922,0.263797,0.361838,0.492202,0.82857,1.169365
