,Group,Threshold ratio,N above,% above,N total
0,in,0.01,4,100.0,4
1,in,0.05,0,0.0,4
2,in,0.1,0,0.0,4
3,in,0.2,0,0.0,4
4,post,0.01,4,100.0,4
5,post,0.05,0,0.0,4
6,post,0.1,0,0.0,4
7,post,0.2,0,0.0,4
8,pre,0.01,3,100.0,3
9,pre,0.05,0,0.0,3
10,pre,0.1,0,0.0,3
11,pre,0.2,0,0.0,3
