,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,52,0.091597,0.037837,0.166205,0.0,0.009826,0.094691,0.964304,3.497747
post,52,0.075563,0.021319,0.126133,0.0,0.003377,0.075589,0.548423,2.328916
pre,37,0.092229,0.047714,0.110488,0.0,0.017814,0.140578,0.474748,1.71883
