,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,2,0.038016,0.038016,0.002295,0.036393,0.037205,0.038828,0.039639,0.0
post,2,0.068386,0.068386,0.077648,0.01348,0.040933,0.095838,0.123291,0.0
pre,1,0.084392,0.084392,,0.084392,0.084392,0.084392,0.084392,
