,Group,Category,N,%,N total
0,in,Increasing,118,56.7,208
1,in,Stable,31,14.9,208
2,in,Decreasing,59,28.4,208
3,post,Increasing,119,48.8,244
4,post,Stable,41,16.8,244
5,post,Decreasing,84,34.4,244
6,pre,Increasing,66,45.5,145
7,pre,Stable,31,21.4,145
8,pre,Decreasing,48,33.1,145
