,Group,Category,N,%,N total
0,in,Increasing,7,77.8,9
1,in,Stable,0,0.0,9
2,in,Decreasing,2,22.2,9
3,post,Increasing,7,77.8,9
4,post,Stable,2,22.2,9
5,post,Decreasing,0,0.0,9
6,pre,Increasing,4,44.4,9
7,pre,Stable,2,22.2,9
8,pre,Decreasing,3,33.3,9
