,Group,Category,N,%,N total
0,in,Increasing,7,38.9,18
1,in,Stable,1,5.6,18
2,in,Decreasing,10,55.6,18
3,post,Increasing,9,42.9,21
4,post,Stable,1,4.8,21
5,post,Decreasing,11,52.4,21
6,pre,Increasing,3,33.3,9
7,pre,Stable,2,22.2,9
8,pre,Decreasing,4,44.4,9
