Group,N,P10,P25,P50,P75,P90,P95,P99
in,7,0.3826,0.4633,0.7078,1.4704,1.87,2.0095,2.1212
post,9,0.132,0.3047,0.5914,1.2614,2.0387,2.6418,3.1243
pre,5,0.4298,0.6639,1.2765,1.6035,1.8878,1.9825,2.0583
