,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,5,0.643662,0.63796,0.531566,0.176152,0.187298,0.740123,1.476776,0.71071
post,10,0.649229,0.391761,0.690987,0.045904,0.165459,0.874714,1.957427,0.948933
pre,2,0.337712,0.337712,0.234648,0.171791,0.254752,0.420673,0.503633,0.0
