,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,3,1.3e-05,1.4e-05,5e-06,7e-06,1.1e-05,1.6e-05,1.7e-05,-0.507069
post,3,1.9e-05,6e-06,2.7e-05,1e-06,3e-06,2.8e-05,5e-05,0.684432
pre,3,1.8e-05,9e-06,2.2e-05,1e-06,5e-06,2.6e-05,4.3e-05,0.623439
