,Group,Category,N,%,N total
0,in,Increasing,1,50.0,2
1,in,Stable,0,0.0,2
2,in,Decreasing,1,50.0,2
3,post,Increasing,1,50.0,2
4,post,Stable,0,0.0,2
5,post,Decreasing,1,50.0,2
6,pre,Increasing,1,50.0,2
7,pre,Stable,0,0.0,2
8,pre,Decreasing,1,50.0,2
