,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,0.000232,0.000232,,0.000232,0.000232,0.000232,0.000232,
pre,1,6.2e-05,6.2e-05,,6.2e-05,6.2e-05,6.2e-05,6.2e-05,
