,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,4,0.03502,0.002718,0.066423,3.4e-05,0.000627,0.037111,0.134609,1.151589
post,5,0.025838,0.001538,0.041672,4.5e-05,7.8e-05,0.030974,0.096552,1.178627
pre,3,0.056394,0.001908,0.096024,7e-06,0.000957,0.084588,0.167268,0.706795
