,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,1,0.232183,0.232183,,0.232183,0.232183,0.232183,0.232183,
post,2,0.103517,0.103517,0.034728,0.078961,0.091239,0.115795,0.128073,-0.0
pre,1,0.694835,0.694835,,0.694835,0.694835,0.694835,0.694835,
