,Group,Category,N,%,N total
0,in,Increasing,6,85.7,7
1,in,Stable,0,0.0,7
2,in,Decreasing,1,14.3,7
3,post,Increasing,4,57.1,7
4,post,Stable,0,0.0,7
5,post,Decreasing,3,42.9,7
6,pre,Increasing,4,66.7,6
7,pre,Stable,2,33.3,6
8,pre,Decreasing,0,0.0,6
