,Group,Threshold ratio,N above,% above,N total
0,in,0.01,4,80.0,5
1,in,0.05,0,0.0,5
2,in,0.1,0,0.0,5
3,in,0.2,0,0.0,5
4,post,0.01,9,100.0,9
5,post,0.05,0,0.0,9
6,post,0.1,0,0.0,9
7,post,0.2,0,0.0,9
8,pre,0.01,1,100.0,1
9,pre,0.05,0,0.0,1
10,pre,0.1,0,0.0,1
11,pre,0.2,0,0.0,1
