Group,N,P10,P25,P50,P75,P90,P95,P99
in,9,0.4747,0.4803,0.7602,0.9862,2.2028,2.6515,3.0105
post,11,0.4585,0.5151,0.9287,1.7859,3.5779,4.7029,5.6029
pre,8,0.4955,0.6121,0.8999,1.1786,1.7814,2.0334,2.2349
