,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,16,0.232349,0.180271,0.200295,0.017365,0.110473,0.294165,0.75531,1.310103
post,22,0.235634,0.185357,0.192925,0.043391,0.090038,0.287579,0.776268,1.371828
pre,11,0.301884,0.188359,0.259901,0.051383,0.132063,0.419335,0.880627,1.157971
