,Group,Threshold ratio,N above,% above,N total
0,in,0.01,47,92.2,51
1,in,0.05,0,0.0,51
2,in,0.1,0,0.0,51
3,in,0.2,0,0.0,51
4,post,0.01,55,94.8,58
5,post,0.05,0,0.0,58
6,post,0.1,0,0.0,58
7,post,0.2,0,0.0,58
8,pre,0.01,32,94.1,34
9,pre,0.05,0,0.0,34
10,pre,0.1,0,0.0,34
11,pre,0.2,0,0.0,34
