,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,208,0.627002,0.695666,0.195195,0.263501,0.442347,0.793192,0.989016,-0.447959
post,244,0.616912,0.675005,0.211185,0.192551,0.430156,0.799212,0.956592,-0.44682
pre,145,0.658586,0.720455,0.182082,0.249602,0.503641,0.803758,0.979163,-0.681251
