,Group,Category,N,%,N total
0,in,Increasing,36,69.2,52
1,in,Stable,6,11.5,52
2,in,Decreasing,10,19.2,52
3,post,Increasing,33,63.5,52
4,post,Stable,6,11.5,52
5,post,Decreasing,13,25.0,52
6,pre,Increasing,17,45.9,37
7,pre,Stable,8,21.6,37
8,pre,Decreasing,12,32.4,37
