,Group,Threshold ratio,N above,% above,N total
0,in,0.01,9,90.0,10
1,in,0.05,0,0.0,10
2,in,0.1,0,0.0,10
3,in,0.2,0,0.0,10
4,post,0.01,9,100.0,9
5,post,0.05,0,0.0,9
6,post,0.1,0,0.0,9
7,post,0.2,0,0.0,9
8,pre,0.01,7,87.5,8
9,pre,0.05,0,0.0,8
10,pre,0.1,0,0.0,8
11,pre,0.2,0,0.0,8
