,Group,Category,N,%,N total
0,in,Increasing,39,47.0,83
1,in,Stable,13,15.7,83
2,in,Decreasing,31,37.3,83
3,post,Increasing,43,43.9,98
4,post,Stable,15,15.3,98
5,post,Decreasing,40,40.8,98
6,pre,Increasing,20,40.8,49
7,pre,Stable,5,10.2,49
8,pre,Decreasing,24,49.0,49
