Group,N,P10,P25,P50,P75,P90,P95,P99
in,2,0.3261,0.3801,0.4701,0.5601,0.6141,0.6321,0.6465
post,2,0.3411,0.3964,0.4885,0.5805,0.6358,0.6542,0.6689
pre,2,0.3192,0.3761,0.4709,0.5658,0.6227,0.6417,0.6569
