Group,N,P10,P25,P50,P75,P90,P95,P99
in,3,0.441,0.4458,0.4538,0.5921,0.675,0.7026,0.7247
post,3,0.387,0.411,0.451,0.5794,0.6563,0.682,0.7025
pre,1,0.4703,0.4703,0.4703,0.4703,0.4703,0.4703,0.4703
