,N,Mean,Median,Std,Min,P25,P75,Max,Skewness
in,8,0.034108,0.017276,0.058623,0.000419,0.004768,0.024933,0.1769,2.127686
post,13,0.04656,0.000831,0.084167,0.000272,0.000422,0.040846,0.238908,1.666883
pre,4,0.012237,0.002604,0.020777,0.000429,0.000956,0.013886,0.043312,1.135002
